/////////// nop ///////////


0000, 00, 0000, 0000

/////////// mov ///////////


0001, 00, 0000, 0001


0001, 00, 1000, 0002


0001, 00, 2000, 0003


0001, 00, 3000, 0004


0001, 00, 4000, 0005


0001, 00, 5000, 0006


0001, 00, 6000, 0007


0001, 00, 7000, 0008


0001, 00, 8000, 0009


0001, 00, 9000, 000a


0001, 00, a000, 000b


0001, 00, b000, 000c


0001, 00, c000, 000d


0001, 01, 0000, 1000


0001, 01, 1000, 2000


0001, 01, 2000, 3000


0001, 01, 3000, 4000


0001, 01, 4000, 5000


0001, 01, 5000, 6000


0001, 01, 6000, 7000


0001, 01, 7000, 8000


0001, 01, 8000, 9000


0001, 01, 9000, a000


0001, 01, a000, b000


0001, 01, b000, c000


0001, 01, c000, 0000

/////////// str ///////////


0003, 00, 0000, 044c


0003, 00, 1000, 044d


0003, 00, 2000, 044e


0003, 00, 3000, 044f


0003, 00, 4000, 0450


0003, 00, 5000, 0451


0003, 00, 6000, 0452


0003, 00, 7000, 0453


0003, 00, 8000, 0454


0003, 00, 9000, 0455


0003, 00, a000, 0456


0003, 00, b000, 0457


0003, 00, c000, 0458


0003, 01, 0001, 0459


0003, 01, 0002, 045a


0003, 01, 0003, 045b


0003, 01, 0004, 045c


0003, 01, 0005, 045d


0003, 01, 0006, 045e


0003, 01, 0007, 045f


0003, 01, 0008, 0460


0003, 01, 0009, 0461


0003, 01, 000a, 0462


0003, 01, 000b, 0463


0003, 01, 000c, 0464


0003, 01, 000d, 0465

/////////// ldr ///////////


0002, 00, 0000, 0459


0002, 00, 1000, 045a


0002, 00, 2000, 045b


0002, 00, 3000, 045c


0002, 00, 4000, 045d


0002, 00, 5000, 045e


0002, 00, 6000, 045f


0002, 00, 7000, 0460


0002, 00, 8000, 0461


0002, 00, 9000, 0462


0002, 00, a000, 0463


0002, 00, b000, 0464


0002, 00, c000, 0465


0002, 01, 0000, 0459


0002, 01, 1000, 045a


0002, 01, 2000, 045b


0002, 01, 3000, 045c


0002, 01, 4000, 045d


0002, 01, 5000, 045e


0002, 01, 6000, 045f


0002, 01, 7000, 0460


0002, 01, 8000, 0461


0002, 01, 9000, 0462


0002, 01, a000, 0463


0002, 01, b000, 0464


0002, 01, c000, 0465

/////////// cmp ///////////


0004, 02, 0000, 0001


0004, 02, 1000, 0001


0004, 02, 2000, 0002


0004, 02, 3000, 0001


0004, 02, 4000, 0001


0004, 02, 5000, 0001


0004, 02, 6000, 0001


0004, 02, 7000, 0001


0004, 02, 8000, 0001


0004, 02, 9000, 0001


0004, 02, a000, 0001


0004, 02, b000, 0001


0004, 02, c000, 0001


0004, 03, 0000, 1000


0004, 03, 1000, 2000


0004, 03, 2000, 3000


0004, 03, 3000, 4000


0004, 03, 4000, 5000


0004, 03, 5000, 6000


0004, 03, 6000, 7000


0004, 03, 7000, 8000


0004, 03, 8000, 9000


0004, 03, 9000, a000


0004, 03, a000, b000


0004, 03, b000, c000


0004, 03, c000, 0000

/////////// b ///////////


0005, 00, 0000, 006e

/////////// bgt ///////////


0006, 00, 0000, 006e

/////////// blt ///////////


0007, 00, 0000, 006e

/////////// beq ///////////


0008, 00, 0000, 006e

/////////// add ///////////


0009, 00, 200b, 000a


0009, 01, 200b, 0000


0009, 02, 2100, 000a


0009, 03, 2000, 0100

/////////// sub ///////////


000a, 00, 200b, 000a


000a, 01, 200b, 0000


000a, 02, 2100, 000a


000a, 03, 2000, 0100

/////////// mul ///////////


000b, 00, 200b, 000a


000b, 01, 200b, 0000


000b, 02, 2100, 000a


000b, 03, 2000, 0100

/////////// lsr ///////////


000c, 02, 2100, 0001

/////////// and ///////////


000d, 00, 200b, 000a


000d, 01, 200b, 0000


000d, 02, 2100, 000a


000d, 03, 2000, 0100

/////////// or ///////////


000e, 00, 200b, 000a


000e, 01, 200b, 0000


000e, 02, 2100, 000a


000e, 03, 2000, 0100

/////////// mvn ///////////


000f, 00, 2000, 0001


000f, 01, 2000, 1000


/////////// storing into memory mapped registers ///////////


0003, 01, 0401, 0008


0003, 01, 0403, 0008


0003, 01, 0406, 0001


0003, 01, 0407, 0001


0003, 01, 0408, 0fff


/////////// loading from memory mapped registers ///////////


0002, 01, 0000, 0401


0002, 01, 1000, 0403


0002, 01, 2000, 0406


0002, 01, 3000, 0407


0002, 01, 4000, 0408


/////////// storing vars onto the stack ///////////


0003, 01, 000a, 044c


0003, 01, 000b, 044d


0003, 01, 000c, 044e


/////////// loading vars from the stack ///////////


0002, 01, 0000, 044c


0002, 01, 1000, 044d


0002, 01, 2000, 044e


////////////////////////////////////////////////////////


The variables stored on the stack are:

num1 num2 num3 
Their values: 
10 11 12 
Their addresses: 
44c 44d 44e 

////////////////////////////////////////////////////////

